disease,drug,se
TB,Ofloxacin,Hyposthenuria
TB,Ofloxacin,Infestation NOS
TB,Ofloxacin,Injection site inflammation
TB,Ofloxacin,Injection site pain
TB,Ofloxacin,Injection site swelling
TB,Ofloxacin,Instillation site irritation
TB,Ofloxacin,Interstitial pneumonia
TB,Ofloxacin,Kidney function abnormal
TB,Ofloxacin,Lacrimation increased
TB,Ofloxacin,Leg pain
TB,Ofloxacin,Lenticular opacities
TB,Ofloxacin,Lightheadedness
TB,Ofloxacin,Manic psychosis
TB,Ofloxacin,Mood swings
TB,Ofloxacin,Muscle contractions involuntary
TB,Ofloxacin,Muscle enzyme increased
TB,Ofloxacin,Muscle injury
TB,Ofloxacin,Neutrophilia
TB,Ofloxacin,Oropharyngeal swelling
TB,Ofloxacin,Partial hearing loss
TB,Ofloxacin,Phosphatase alkaline increased
TB,Ofloxacin,Potassium low
TB,Ofloxacin,Prothrombin level decreased
TB,Ofloxacin,Prothrombin level increased
TB,Ofloxacin,Pruritus genital
TB,Ofloxacin,Pseudomembranous colitis
TB,Ofloxacin,Rash erythematous
TB,Ofloxacin,Rash follicular
TB,Ofloxacin,Red blood cell disorders
TB,Ofloxacin,Respiratory depression
TB,Ofloxacin,Retrosternal pain
TB,Ofloxacin,Rigors
TB,Ofloxacin,Skin exfoliation
TB,Ofloxacin,Slurred speech
TB,Ofloxacin,Stinging
TB,Ofloxacin,Sweating increased
TB,Ofloxacin,Swelling face
TB,Ofloxacin,Swollen tongue
TB,Ofloxacin,Taste bitter
TB,Ofloxacin,Tendon disorder
TB,Ofloxacin,Tendon rupture
TB,Ofloxacin,Throat irritation
TB,Ofloxacin,Tongue oedema
TB,Ofloxacin,Unspecified disorder of skin and subcutaneous tissue
TB,Ofloxacin,Vaginal moniliasis
TB,Ofloxacin,Vesiculobullous rash
TB,Ofloxacin,Visual acuity reduced
TB,Ofloxacin,Visual disturbance
TB,Ofloxacin,WBC abnormal NOS
TB,Rifapentine,Aggressive reaction
TB,Rifapentine,Blood urea increased
TB,Rifapentine,Breath sounds abnormal
TB,Rifapentine,Cervical smear test positive
TB,Rifapentine,Chest X-ray abnormal
TB,Rifapentine,Gravitational oedema
TB,Rifapentine,Hepatotoxicity
TB,Rifapentine,Hyporeflexia
TB,Rifapentine,Laboratory test abnormal
TB,Rifapentine,Lactic dehydrogenase activity increased
TB,Rifapentine,Leg edema
TB,Rifapentine,Mastitis male
TB,Rifapentine,NPN increased
TB,Rifapentine,Neutrophilia
TB,Rifapentine,Normocytic anemia
TB,Rifapentine,Phosphatase alkaline increased
TB,Rifapentine,Raised liver function tests
TB,Rifapentine,Rash erythematous
TB,Rifapentine,Salivary gland enlargement
TB,Rifapentine,Sputum increased
TB,Rifapentine,Sweating increased
TB,Ethionamide,Digestion impaired
TB,Ethionamide,Taste metallic
TB,4-Aminosalicylic acid,Abdominal pain
TB,4-Aminosalicylic acid,Abnormal liver function tests and hepatic failure
TB,4-Aminosalicylic acid,Agranulocytosis
TB,4-Aminosalicylic acid,Allergic reactions including fever and itching
TB,4-Aminosalicylic acid,Blood dyscrasia
TB,4-Aminosalicylic acid,Cyanosis
TB,4-Aminosalicylic acid,Diarrhea
TB,4-Aminosalicylic acid,Hemolytic anemia
TB,4-Aminosalicylic acid,Hepatitis
TB,4-Aminosalicylic acid,Hypersensitivity
TB,4-Aminosalicylic acid,Impotency
TB,4-Aminosalicylic acid,Leukopenia
TB,4-Aminosalicylic acid,Nausea
TB,4-Aminosalicylic acid,Thrombocytopenia
TB,4-Aminosalicylic acid,Vomiting
TB,Rifabutin,Abdominal pain
TB,Rifabutin,Agranulocytosis
TB,Rifabutin,Alanine aminotransferase increased
TB,Rifabutin,Anaemia
TB,Rifabutin,Anorexia
TB,Rifabutin,Aphasia
TB,Rifabutin,Arthralgia
TB,Rifabutin,Aspartate aminotransferase increased
TB,Rifabutin,Asthenia
TB,Rifabutin,Bacteraemia
TB,Rifabutin,Blood and lymphatic system disorders
TB,Rifabutin,Blood bilirubin increased
TB,Rifabutin,Body temperature increased
TB,Rifabutin,Bronchospasm
TB,Rifabutin,Burkitt's lymphoma
TB,Rifabutin,Chest pain
TB,Rifabutin,Chest pressure
TB,Rifabutin,Clostridium difficile colitis
TB,Rifabutin,Confusional state
TB,Rifabutin,Congenital anomaly
TB,Rifabutin,Connective tissue disorder
TB,Rifabutin,Convulsion
TB,Rifabutin,Corneal deposits
TB,Rifabutin,Cross resistance
TB,Rifabutin,Diarrhoea
TB,Rifabutin,Dysgeusia
TB,Rifabutin,Dyspepsia
TB,Rifabutin,Dyspnoea
TB,Rifabutin,Emotional distress
TB,Rifabutin,Eosinophilia
TB,Rifabutin,Eructation
TB,Rifabutin,Eye disorder
TB,Rifabutin,Flatulence
TB,Rifabutin,Gastrointestinal disorder
TB,Rifabutin,Gastrointestinal symptom NOS
TB,Rifabutin,Gram-negative bacterial infection NOS
TB,Rifabutin,Headache
TB,Rifabutin,Hepatic enzyme increased
TB,Rifabutin,Hepatitis
TB,Rifabutin,Hepatobiliary disease
TB,Rifabutin,Hypersensitivity
TB,Rifabutin,Immune system disorder
TB,Rifabutin,Insomnia
TB,Rifabutin,Jaundice
TB,Rifabutin,Leukopenia
TB,Rifabutin,Lymphopenia
TB,Rifabutin,Myalgia
TB,Rifabutin,Myositis
TB,Rifabutin,Nausea
TB,Rifabutin,Neutropenia
TB,Rifabutin,Neutrophil count decreased
TB,Rifabutin,Pain
TB,Rifabutin,Pancytopenia
TB,Rifabutin,Paraesthesia
TB,Rifabutin,Phosphatase alkaline increased
TB,Rifabutin,Platelet count decreased
TB,Rifabutin,Pruritus
TB,Rifabutin,Pseudomembranous colitis
TB,Rifabutin,Rash
TB,Rifabutin,Shock
TB,Rifabutin,Skin discolouration
TB,Rifabutin,Testicular atrophy
TB,Rifabutin,Thrombocytopenia
TB,Rifabutin,Thrombotic thrombocytopenic purpura
TB,Rifabutin,Unspecified disorder of skin and subcutaneous tissue
TB,Rifabutin,Urine color abnormal
TB,Rifabutin,Uveitis
TB,Rifabutin,Vomiting
TB,Rifabutin,White blood cell count decreased
TB,Rifabutin,White blood cell disorder
TB,Clavulanic acid,Bloody or cloudy urine
TB,Clavulanic acid,Hives or welts
TB,Clavulanic acid,fever
TB,Clavulanic acid,greatly decreased frequency of urination or amount of urine
TB,Clavulanic acid,itching
TB,Clavulanic acid,itching of the vagina or genital area
TB,Clavulanic acid,pain during sexual intercourse
TB,Clavulanic acid,redness of the skin
TB,Clavulanic acid,seizures
TB,Clavulanic acid,skin rash
TB,Clavulanic acid,swelling of the feet or lower legs
TB,Clavulanic acid,"thick, white vaginal discharge with no odor or with a mild odor"
TB,Meropenem,Accidental injury
TB,Meropenem,Application site pain
TB,Meropenem,Blood lactate dehydrogenase increased
TB,Meropenem,Blood urea increased
TB,Meropenem,Cough increased
TB,Meropenem,Haematocrit decreased
TB,Meropenem,Infestation NOS
TB,Meropenem,Injection site inflammation
TB,Meropenem,Injection site pain
TB,Meropenem,Platelet count decreased
TB,Meropenem,Prothrombin time abnormal
TB,Meropenem,Pseudomembranous colitis
TB,Meropenem,Sickness
TB,Meropenem,Unspecified disorder of skin and subcutaneous tissue
TB,Meropenem,Vaginal moniliasis
TB,P-aminosalicylic acid,Abdominal pain
TB,P-aminosalicylic acid,Agranulocytosis
TB,P-aminosalicylic acid,Allergic reactions including fever and itching
TB,P-aminosalicylic acid,Black or bloody stools
TB,P-aminosalicylic acid,Brain disease
TB,P-aminosalicylic acid,Dark urine
TB,P-aminosalicylic acid,Diarrhea
TB,P-aminosalicylic acid,Difficulty breathing
TB,P-aminosalicylic acid,Eosinophilic pneumonitis
TB,P-aminosalicylic acid,Fever
TB,P-aminosalicylic acid,Goitre
TB,P-aminosalicylic acid,Haemolytic anemia
TB,P-aminosalicylic acid,Hepatitis
TB,P-aminosalicylic acid,Hives
TB,P-aminosalicylic acid,Hypoglycaemia
TB,P-aminosalicylic acid,Hypothyroidism
TB,P-aminosalicylic acid,Itching
TB,P-aminosalicylic acid,Leukopenia
TB,P-aminosalicylic acid,Nausea
TB,P-aminosalicylic acid,Optic neuritis
TB,P-aminosalicylic acid,Pericarditis
TB,P-aminosalicylic acid,Persistent nausea or vomiting
TB,P-aminosalicylic acid,Rash
TB,P-aminosalicylic acid,Rash followed by a fever
TB,P-aminosalicylic acid,Severe dizziness
TB,P-aminosalicylic acid,Skin rash
TB,P-aminosalicylic acid,"Swelling of your face, lips, tongue, or throat"
TB,P-aminosalicylic acid,Thrombocytopenia
TB,P-aminosalicylic acid,Vasculitis
TB,P-aminosalicylic acid,Vomit that looks like coffee grounds
TB,P-aminosalicylic acid,Vomiting
TB,P-aminosalicylic acid,Yellowing of the eyes or skin (jaundice)
TB,Protionamide,Confusion
TB,Protionamide,Diarrhoea
TB,Protionamide,Dizziness
TB,Protionamide,Double vision
TB,Protionamide,Drowsiness
TB,Protionamide,Headache
TB,Protionamide,Loss of appetite
TB,Protionamide,Metallic taste in your mouth
TB,Protionamide,Nausea
TB,Protionamide,Skin Rash
TB,Protionamide,Stomach pain
TB,Protionamide,Vomiting
TB,Terizidone,Confusion
TB,Terizidone,Convulsions (fits)
TB,Terizidone,Depression
TB,Terizidone,Diarrhea or constipation
TB,Terizidone,Difficulty in sleeping
TB,Terizidone,Difficulty with speaking
TB,Terizidone,Dizziness
TB,Terizidone,Drowsiness
TB,Terizidone,Headache
TB,Terizidone,Irritability
TB,Terizidone,Lack of energy
TB,Terizidone,Nausea and vomiting
TB,Terizidone,Nervousness
TB,Terizidone,Slurred speech
TB,Terizidone,Stomach pain
TB,Terizidone,Tingling or numbness of the hands and feet
TB,Terizidone,Tremor (shakiness)
TB,Morinamide,Chest pain
TB,Morinamide,"Fever (sudden, high)"
TB,Morinamide,fast or irregular heartbeat
TB,Morinamide,shortness of breath
TB,Morinamide,swelling of the feet or lower legs
TB,Enviomycin,Nephrotoxicity
TB,Enviomycin,Ototoxicity
TB,Viomycin,"Black, tarry stools"
TB,Viomycin,Bleeding gums
TB,Viomycin,Blood in the urine or stools
TB,Viomycin,Continuing ringing or buzzing or other unexplained noise in the ears
TB,Viomycin,Cough or hoarseness
TB,Viomycin,Dizziness or lightheadedness
TB,Viomycin,Feeling of constant movement of self or surroundings
TB,Viomycin,Feeling of fullness in the ears
TB,Viomycin,Fever with or without chills
TB,Viomycin,General feeling of tiredness or weakness
TB,Viomycin,Hearing loss
TB,Viomycin,Hives
TB,Viomycin,Including low blood pressure
TB,Viomycin,Indigestion
TB,Viomycin,Itching
TB,Viomycin,Loss of balance
TB,Viomycin,Low blood pressure
TB,Viomycin,Lower back or side pain
TB,Viomycin,Pain and muscle spasm of the chest and back
TB,Viomycin,Painful or difficult urination
TB,Viomycin,Pale skin
TB,Viomycin,Pinpoint red spots on the skin
TB,Viomycin,Red neck or red man syndrome
TB,Viomycin,Ringing or buzzing in the ears
TB,Viomycin,Sensation of spinning
TB,Viomycin,Serious allergic reactions (anaphylactoid reactions)
TB,Viomycin,Sore throat
TB,Viomycin,"Sores, ulcers, or white spots on the lips or in the mouth"
TB,Viomycin,Trouble in hearing
TB,Viomycin,Unusual bleeding or bruising
TB,Viomycin,Unusual tiredness or weakness
TB,Viomycin,Wheezing
TB,Thioacetazone,Agranulocytosis
TB,Thioacetazone,And red cell aplasia
TB,Thioacetazone,Anemia
TB,Thioacetazone,Bone marrow depression
TB,Thioacetazone,Joint pain
TB,Thioacetazone,Leukopenia
TB,Thioacetazone,Loose stools
TB,Thioacetazone,Loss of appetite
TB,Thioacetazone,Muscle pain
TB,Thioacetazone,Nausea
TB,Thioacetazone,Paresthesia (tingling or pricking sensation)
TB,Thioacetazone,Skin rash
TB,Thioacetazone,Thrombocytopenia hemolytic anemia
TB,Thioacetazone,Vomiting
TB,Clofazimine,Acneiform eruption
TB,Clofazimine,Anaemia
TB,Clofazimine,Anorexia
TB,Clofazimine,Body temperature increased
TB,Clofazimine,Bone pain
TB,Clofazimine,Cheilosis
TB,Clofazimine,Constipation
TB,Clofazimine,Corneal pigmentation
TB,Clofazimine,Cystitis
TB,Clofazimine,Depression
TB,Clofazimine,Dermatitis exfoliative
TB,Clofazimine,Diarrhoea
TB,Clofazimine,Dizziness
TB,Clofazimine,Drowsiness
TB,Clofazimine,Enteritis
TB,Clofazimine,Eosinophilia
TB,Clofazimine,Epigastric pain
TB,Clofazimine,Fatigue
TB,Clofazimine,Gastrointestinal haemorrhage
TB,Clofazimine,Headache
TB,Clofazimine,Hepatitis
TB,Clofazimine,Hepatomegaly
TB,Clofazimine,Hyperglycaemia
TB,Clofazimine,Hypokalaemia
TB,Clofazimine,Ichthyosis
TB,Clofazimine,Intestinal obstruction
TB,Clofazimine,Jaundice
TB,Clofazimine,Lymphadenopathy
TB,Clofazimine,Nausea
TB,Clofazimine,Neuralgia
TB,Clofazimine,Oedema
TB,Clofazimine,Phototoxicity
TB,Clofazimine,Pruritus
TB,Clofazimine,Rash
TB,Clofazimine,Skin discolouration
TB,Clofazimine,Splenic infarction
TB,Clofazimine,Suicide
TB,Clofazimine,Taste disorders
TB,Clofazimine,Thromboembolism
TB,Clofazimine,Vascular pain
TB,Clofazimine,Vision decreased
TB,Clofazimine,Vomiting
TB,Clofazimine,Weight decreased
TB,Amoxicillin-clavulanate,Bloody or cloudy urine
TB,Amoxicillin-clavulanate,Confusion or weakness
TB,Amoxicillin-clavulanate,Dark colored urine
TB,Amoxicillin-clavulanate,Diaper rash
TB,Amoxicillin-clavulanate,Diarrhea that is watery or bloody (even if it occurs months after your last dose)
TB,Amoxicillin-clavulanate,Easy bruising or bleeding
TB,Amoxicillin-clavulanate,Fever
TB,Amoxicillin-clavulanate,Greatly decreased frequency of urination or amount of urine
TB,Amoxicillin-clavulanate,Hives or welts
TB,Amoxicillin-clavulanate,Itching
TB,Amoxicillin-clavulanate,Little or no urination
TB,Amoxicillin-clavulanate,Loss of appetite
TB,Amoxicillin-clavulanate,Nausea
TB,Amoxicillin-clavulanate,Pain during sexual intercourse
TB,Amoxicillin-clavulanate,Pale or yellowed skin
TB,Amoxicillin-clavulanate,Rash
TB,Amoxicillin-clavulanate,Redness of the skin
TB,Amoxicillin-clavulanate,Seizures
TB,Amoxicillin-clavulanate,Severe stomach pain
TB,Amoxicillin-clavulanate,Skin rash
TB,Amoxicillin-clavulanate,Swelling of the feet or lower legs
TB,Amoxicillin-clavulanate,"Thick, white vaginal discharge with no odor or with a mild odor"
TB,Amoxicillin-clavulanate,Upper stomach pain
TB,Amoxicillin-clavulanate,Vaginal itching or discharge
TB,Amoxicillin-clavulanate,Vomiting
TB,Imipenem,"Blisters on the skin, mouth, nose, and eyes"
TB,Imipenem,Confusion
TB,Imipenem,Convulsions (seizures)
TB,Imipenem,Diarrhea
TB,Imipenem,Difficulty breathing or swallowing
TB,Imipenem,Dizziness
TB,Imipenem,Fever
TB,Imipenem,Headache
TB,Imipenem,Hives
TB,Imipenem,Increased sweating
TB,Imipenem,Itching
TB,Imipenem,Nausea or vomiting
TB,Imipenem,Pain at place of injection
TB,Imipenem,Rash
TB,Imipenem,"Redness, pain, or swelling at the injection site"
TB,Imipenem,Seizures
TB,Imipenem,Severe abdominal or stomach cramps and pain
TB,Imipenem,Severe diarrhea
TB,Imipenem,"Skin rash, hives, itching, fever, or wheezing"
TB,Imipenem,Sloughing (shedding) of skin
TB,Imipenem,Tremors
TB,Imipenem,Unusual tiredness or weakness
TB,Imipenem,Vomiting
TB,Imipenem,"Watery and severe diarrhea, which may also be bloody"
TB,Clarithromycin,Abdominal distension
TB,Clarithromycin,Abdominal pain
TB,Clarithromycin,Abnormal behaviour
TB,Clarithromycin,Abnormal dreams
TB,Clarithromycin,Accidental injury
TB,Clarithromycin,Ache
TB,Clarithromycin,Acquired immunodeficiency syndrome
TB,Clarithromycin,Ageusia
TB,Clarithromycin,Agranulocytosis
TB,Clarithromycin,Alanine aminotransferase increased
TB,Clarithromycin,Albumin globulin ratio abnormal
TB,Clarithromycin,Amylase increased
TB,Clarithromycin,Anaemia
TB,Clarithromycin,Anaphylactic shock
TB,Clarithromycin,Anaphylactoid reaction
TB,Clarithromycin,Angioedema
TB,Clarithromycin,Angiopathy
TB,Clarithromycin,Anorexia
TB,Clarithromycin,Anosmia
TB,Clarithromycin,Anxiety
TB,Clarithromycin,Aspartate aminotransferase increased
TB,Clarithromycin,Asthenia
TB,Clarithromycin,Asthma
TB,Clarithromycin,Atrial fibrillation
TB,Clarithromycin,Back pain
TB,Clarithromycin,Bacteraemia
TB,Clarithromycin,Bad dreams
TB,Clarithromycin,Blood alkaline phosphatase increased
TB,Clarithromycin,Blood and lymphatic system disorders
TB,Clarithromycin,Blood bilirubin increased
TB,Clarithromycin,Blood creatinine increased
TB,Clarithromycin,Blood disorder
TB,Clarithromycin,Blood lactate dehydrogenase increased
TB,Clarithromycin,Blood urea increased
TB,Clarithromycin,Body temperature increased
TB,Clarithromycin,Breast disorder
TB,Clarithromycin,Candida infection
TB,Clarithromycin,Cardiac arrest
TB,Clarithromycin,Cardiac disorder
TB,Clarithromycin,Cellulitis
TB,Clarithromycin,Chest pain
TB,Clarithromycin,Chills
TB,Clarithromycin,Cholestasis
TB,Clarithromycin,Community acquired pneumonia
TB,Clarithromycin,Confusional state
TB,Clarithromycin,Conjunctivitis
TB,Clarithromycin,Connective tissue disorder
TB,Clarithromycin,Constipation
TB,Clarithromycin,Convulsion
TB,Clarithromycin,Corneal opacity
TB,Clarithromycin,Cough
TB,Clarithromycin,Cough increased
TB,Clarithromycin,Cyst
TB,Clarithromycin,Deafness
TB,Clarithromycin,Decreased appetite
TB,Clarithromycin,Depersonalisation
TB,Clarithromycin,Depression
TB,Clarithromycin,Dermatitis bullous
TB,Clarithromycin,Dermatitis diaper
TB,Clarithromycin,Diarrhoea
TB,Clarithromycin,Discomfort
TB,Clarithromycin,Disorientation
TB,Clarithromycin,Dizziness
TB,Clarithromycin,Drug eruption
TB,Clarithromycin,Drug interaction
TB,Clarithromycin,Dry mouth
TB,Clarithromycin,Dysgeusia
TB,Clarithromycin,Dyskinesia
TB,Clarithromycin,Dysmenorrhoea
TB,Clarithromycin,Dysosmia
TB,Clarithromycin,Dyspepsia
TB,Clarithromycin,Dyspnoea
TB,Clarithromycin,Dysuria
TB,Clarithromycin,Ear and labyrinth disorders
TB,Clarithromycin,Ear disorder
TB,Clarithromycin,Electrocardiogram QT prolonged
TB,Clarithromycin,Enteritis
TB,Clarithromycin,Eosinophilia
TB,Clarithromycin,Epidermal necrosis
TB,Clarithromycin,Epistaxis
TB,Clarithromycin,Eructation
TB,Clarithromycin,Eruption
TB,Clarithromycin,Erysipelas
TB,Clarithromycin,Erythrasma
TB,Clarithromycin,Extrasystoles
TB,Clarithromycin,Eye disorder
TB,Clarithromycin,Fatal outcomes
TB,Clarithromycin,Fatigue
TB,Clarithromycin,Flatulence
TB,Clarithromycin,Flushing
TB,Clarithromycin,Functional gastrointestinal disorder
TB,Clarithromycin,Gamma-glutamyltransferase increased
TB,Clarithromycin,Gastritis
TB,Clarithromycin,Gastroenteritis
TB,Clarithromycin,Gastrointestinal disorder
TB,Clarithromycin,Gastrointestinal symptom NOS
TB,Clarithromycin,Gastrooesophageal reflux disease
TB,Clarithromycin,Gingival bleeding
TB,Clarithromycin,Glossitis
TB,Clarithromycin,Haematuria
TB,Clarithromycin,Haemoglobin decreased
TB,Clarithromycin,Haemorrhage
TB,Clarithromycin,Hallucination
TB,Clarithromycin,Headache
TB,Clarithromycin,Hearing impaired
TB,Clarithromycin,Heartburn
TB,Clarithromycin,Henoch-Schonlein purpura
TB,Clarithromycin,Hepatic failure
TB,Clarithromycin,Hepatic function abnormal
TB,Clarithromycin,Hepatitis
TB,Clarithromycin,Hepatitis cholestatic
TB,Clarithromycin,Hepatobiliary disease
TB,Clarithromycin,Hepatomegaly
TB,Clarithromycin,Hepatotoxicity
TB,Clarithromycin,Hyperhidrosis
TB,Clarithromycin,Hyperkinesia
TB,Clarithromycin,Hypersensitivity
TB,Clarithromycin,Hypoglycaemia
TB,Clarithromycin,Immune system disorder
TB,Clarithromycin,Immunocompromised
TB,Clarithromycin,Infection
TB,Clarithromycin,Infestation NOS
TB,Clarithromycin,Influenza
TB,Clarithromycin,Insomnia
TB,Clarithromycin,International normalised ratio increased
TB,Clarithromycin,Jaundice
TB,Clarithromycin,Jaundice cholestatic
TB,Clarithromycin,Jaundice hepatocellular
TB,Clarithromycin,Labyrinthine disorder
TB,Clarithromycin,Leukopenia
TB,Clarithromycin,Liver function test abnormal
TB,Clarithromycin,Loss of consciousness
TB,Clarithromycin,Malaise
TB,Clarithromycin,Malnutrition
TB,Clarithromycin,Mania
TB,Clarithromycin,Mediastinal disorder
TB,Clarithromycin,Mental disorder
TB,Clarithromycin,Muscle spasms
TB,Clarithromycin,Myalgia
TB,Clarithromycin,Myopathy
TB,Clarithromycin,Nausea
TB,Clarithromycin,Neoplasm
TB,Clarithromycin,Nephritis
TB,Clarithromycin,Nephritis interstitial
TB,Clarithromycin,Nervous system disorder
TB,Clarithromycin,Nervousness
TB,Clarithromycin,Neutropenia
TB,Clarithromycin,Nightmare
TB,Clarithromycin,Nuchal rigidity
TB,Clarithromycin,Oesophagitis
TB,Clarithromycin,Oral candidiasis
TB,Clarithromycin,Otitis media
TB,Clarithromycin,Pain
TB,Clarithromycin,Palpitations
TB,Clarithromycin,Pancreatitis
TB,Clarithromycin,Pancreatitis acute
TB,Clarithromycin,Paraesthesia
TB,Clarithromycin,Parosmia
TB,Clarithromycin,Partial transitory deafness
TB,Clarithromycin,Pharyngitis
TB,Clarithromycin,Photophobia
TB,Clarithromycin,Platelet count decreased
TB,Clarithromycin,Pneumonia
TB,Clarithromycin,Polyp
TB,Clarithromycin,Proctalgia
TB,Clarithromycin,Prothrombin level increased
TB,Clarithromycin,Pruritus
TB,Clarithromycin,Pseudomembranous colitis
TB,Clarithromycin,Psychotic disorder
TB,Clarithromycin,Pulmonary embolism
TB,Clarithromycin,Purpuric rash
TB,Clarithromycin,Rash
TB,Clarithromycin,Rash maculo-papular
TB,Clarithromycin,Rash pustular
TB,Clarithromycin,Renal failure
TB,Clarithromycin,Renal impairment
TB,Clarithromycin,Rhabdomyolysis
TB,Clarithromycin,Rhinitis
TB,Clarithromycin,Serum creatinine increased
TB,Clarithromycin,Sleep disturbance
TB,Clarithromycin,Somnolence
TB,Clarithromycin,Stevens-Johnson syndrome
TB,Clarithromycin,Stomatitis
TB,Clarithromycin,Testicular atrophy
TB,Clarithromycin,Thrombocytopenia
TB,Clarithromycin,Thrombocytosis
TB,Clarithromycin,Tinnitus
TB,Clarithromycin,Tongue discolouration
TB,Clarithromycin,Tooth discolouration
TB,Clarithromycin,Torsade de pointes
TB,Clarithromycin,Toxic epidermal necrolysis
TB,Clarithromycin,Transient cerebrovascular events
TB,Clarithromycin,Tremor
TB,Clarithromycin,Unspecified disorder of skin and subcutaneous tissue
TB,Clarithromycin,Urinary tract disorder
TB,Clarithromycin,Urine color abnormal
TB,Clarithromycin,Urticaria
TB,Clarithromycin,Vaginal infection
TB,Clarithromycin,Vaginal moniliasis
TB,Clarithromycin,Ventricular arrhythmia
TB,Clarithromycin,Ventricular tachycardia
